sqrt_radius,isPrime,mod4,factors,cc,cartesian,img_ops,size
424,false,,"[2, 2, 2, 53]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 2im, 7 - 2im]","Complex[-18 + 10im, -18 - 10im, 4 + 0im, 106 + 0im]","Complex[-18 + 10im, -18 - 10im, 4 + 0im, 106 + 0im, -10 - 18im, 10 - 18im, 0 + 4im, 0 + 106im, 10 + 18im, -10 + 18im, 0 - 4im, 0 - 106im, 18 - 10im, 18 + 10im, -4 + 0im, -106 + 0im]","(16,)"
425,false,1,"[5, 5, 17]","Complex[2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im, 1 + 4im, 1 - 4im]","Complex[-13 + 16im, -13 - 16im, 10 + 5im, 34 - 17im]","Complex[-13 + 16im, -13 - 16im, 10 + 5im, 34 - 17im, -16 - 13im, 16 - 13im, -5 + 10im, 17 + 34im, 16 + 13im, -16 + 13im, 5 - 10im, -17 - 34im, 13 - 16im, 13 + 16im, -10 - 5im, -34 + 17im]","(16,)"
426,false,,"[2, 3, 71]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 71 + 0im]","Complex[3 + 3im, 71 - 71im, 2 + 0im, 213 + 0im]","Complex[3 + 3im, 71 - 71im, 2 + 0im, 213 + 0im, -3 + 3im, 71 + 71im, 0 + 2im, 0 + 213im, 3 - 3im, -71 - 71im, 0 - 2im, 0 - 213im, -3 - 3im, -71 + 71im, -2 + 0im, -213 + 0im]","(16,)"
427,false,3,"[7, 61]","Complex[7 + 0im, 5 + 6im, 5 - 6im]",Complex[],Any[],"(0,)"
428,false,,"[2, 2, 107]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 107 + 0im]",Complex[],Any[],"(0,)"
429,false,1,"[3, 11, 13]","Complex[3 + 0im, 11 + 0im, 3 + 2im, 3 - 2im]","Complex[9 + 6im, 33 - 22im, 33 + 0im, 13 + 0im]","Complex[9 + 6im, 33 - 22im, 33 + 0im, 13 + 0im, -6 + 9im, 22 + 33im, 0 + 33im, 0 + 13im, 6 - 9im, -22 - 33im, 0 - 33im, 0 - 13im, -9 - 6im, -33 + 22im, -33 + 0im, -13 + 0im]","(16,)"
430,false,,"[2, 5, 43]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 43 + 0im]",Complex[],Any[],"(0,)"
431,true,3,[431],Complex[431 + 0im],Complex[431 + 0im],"Complex[431 + 0im, 0 + 431im, 0 - 431im, -431 + 0im]","(4,)"
432,false,,"[2, 2, 2, 2, 3, 3, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 3 + 0im]",Complex[],Any[],"(0,)"
433,true,1,[433],"Complex[12 + 17im, 12 - 17im]","Complex[12 + 17im, 12 - 17im]","Complex[12 + 17im, 12 - 17im, -17 + 12im, 17 + 12im, 17 - 12im, -17 - 12im, -12 - 17im, -12 + 17im]","(8,)"
434,false,,"[2, 7, 31]","Complex[1 + 1im, 1 - 1im, 7 + 0im, 31 + 0im]","Complex[7 + 7im, 31 - 31im, 2 + 0im, 217 + 0im]","Complex[7 + 7im, 31 - 31im, 2 + 0im, 217 + 0im, -7 + 7im, 31 + 31im, 0 + 2im, 0 + 217im, 7 - 7im, -31 - 31im, 0 - 2im, 0 - 217im, -7 - 7im, -31 + 31im, -2 + 0im, -217 + 0im]","(16,)"
435,false,3,"[3, 5, 29]","Complex[3 + 0im, 2 + 1im, 2 - 1im, 2 + 5im, 2 - 5im]",Complex[],Any[],"(0,)"
