sqrt_radius,isPrime,mod4,factors,cc,cartesian,img_ops,size
1,true,1,Int64[],Complex[],Complex[1 + 0im],"Complex[1 + 0im, 0 + 1im, 0 - 1im, -1 + 0im]","(4,)"
2,true,,[2],"Complex[1 + 1im, 1 - 1im]","Complex[1 + 1im, 1 - 1im]","Complex[1 + 1im, 1 - 1im, -1 + 1im, -1 - 1im]","(4,)"
3,true,3,[3],Complex[3 + 0im],Complex[3 + 0im],"Complex[3 + 0im, 0 + 3im, 0 - 3im, -3 + 0im]","(4,)"
4,false,,"[2, 2]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im]","Complex[0 + 2im, 0 - 2im, 2 + 0im]","Complex[0 + 2im, 0 - 2im, 2 + 0im, -2 + 0im]","(4,)"
5,true,1,[5],"Complex[2 + 1im, 2 - 1im]","Complex[2 + 1im, 2 - 1im]","Complex[2 + 1im, 2 - 1im, -1 + 2im, 1 + 2im, 1 - 2im, -1 - 2im, -2 - 1im, -2 + 1im]","(8,)"
6,false,,"[2, 3]","Complex[1 + 1im, 1 - 1im, 3 + 0im]",Complex[],Any[],"(0,)"
7,true,3,[7],Complex[7 + 0im],Complex[7 + 0im],"Complex[7 + 0im, 0 + 7im, 0 - 7im, -7 + 0im]","(4,)"
8,false,,"[2, 2, 2]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im]","Complex[-2 + 2im, -2 - 2im, 2 + 2im, 2 - 2im]","Complex[-2 + 2im, -2 - 2im, 2 + 2im, 2 - 2im]","(4,)"
9,false,1,"[3, 3]","Complex[3 + 0im, 3 + 0im]",Complex[3 + 0im],"Complex[3 + 0im, 0 + 3im, 0 - 3im, -3 + 0im]","(4,)"
10,false,,"[2, 5]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im]","Complex[1 + 3im, 1 - 3im, 2 + 0im, 5 + 0im]","Complex[1 + 3im, 1 - 3im, 2 + 0im, 5 + 0im, -3 + 1im, 3 + 1im, 0 + 2im, 0 + 5im, 3 - 1im, -3 - 1im, 0 - 2im, 0 - 5im, -1 - 3im, -1 + 3im, -2 + 0im, -5 + 0im]","(16,)"
11,true,3,[11],Complex[11 + 0im],Complex[11 + 0im],"Complex[11 + 0im, 0 + 11im, 0 - 11im, -11 + 0im]","(4,)"
12,false,,"[2, 2, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im]",Complex[],Any[],"(0,)"
13,true,1,[13],"Complex[3 + 2im, 3 - 2im]","Complex[3 + 2im, 3 - 2im]","Complex[3 + 2im, 3 - 2im, -2 + 3im, 2 + 3im, 2 - 3im, -2 - 3im, -3 - 2im, -3 + 2im]","(8,)"
14,false,,"[2, 7]","Complex[1 + 1im, 1 - 1im, 7 + 0im]",Complex[],Any[],"(0,)"
15,false,3,"[3, 5]","Complex[3 + 0im, 2 + 1im, 2 - 1im]",Complex[],Any[],"(0,)"
16,false,,"[2, 2, 2, 2]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im]","Complex[-4 + 0im, 4 + 0im]","Complex[-4 + 0im, 4 + 0im, 0 - 4im, 0 + 4im]","(4,)"
17,true,1,[17],"Complex[1 + 4im, 1 - 4im]","Complex[1 + 4im, 1 - 4im]","Complex[1 + 4im, 1 - 4im, -4 + 1im, 4 + 1im, 4 - 1im, -4 - 1im, -1 - 4im, -1 + 4im]","(8,)"
18,false,,"[2, 3, 3]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im]","Complex[3 + 3im, 3 - 3im, 2 + 0im, 9 + 0im]","Complex[3 + 3im, 3 - 3im, 2 + 0im, 9 + 0im, -3 + 3im, 0 + 2im, 0 + 9im, -3 - 3im, 0 - 2im, 0 - 9im, -2 + 0im, -9 + 0im]","(12,)"
19,true,3,[19],Complex[19 + 0im],Complex[19 + 0im],"Complex[19 + 0im, 0 + 19im, 0 - 19im, -19 + 0im]","(4,)"
20,false,,"[2, 2, 5]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im]","Complex[-2 + 4im, -2 - 4im, 2 + 2im, 5 - 5im]","Complex[-2 + 4im, -2 - 4im, 2 + 2im, 5 - 5im, -4 - 2im, 4 - 2im, -2 + 2im, 5 + 5im, 4 + 2im, -4 + 2im, 2 - 2im, -5 - 5im, 2 - 4im, 2 + 4im, -2 - 2im, -5 + 5im]","(16,)"
21,false,1,"[3, 7]","Complex[3 + 0im, 7 + 0im]","Complex[3 + 0im, 7 + 0im]","Complex[3 + 0im, 7 + 0im, 0 + 3im, 0 + 7im, 0 - 3im, 0 - 7im, -3 + 0im, -7 + 0im]","(8,)"
22,false,,"[2, 11]","Complex[1 + 1im, 1 - 1im, 11 + 0im]",Complex[],Any[],"(0,)"
23,true,3,[23],Complex[23 + 0im],Complex[23 + 0im],"Complex[23 + 0im, 0 + 23im, 0 - 23im, -23 + 0im]","(4,)"
24,false,,"[2, 2, 2, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im]",Complex[],Any[],"(0,)"
25,false,1,"[5, 5]","Complex[2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im]","Complex[3 + 4im, 3 - 4im, 5 + 0im]","Complex[3 + 4im, 3 - 4im, 5 + 0im, -4 + 3im, 4 + 3im, 0 + 5im, 4 - 3im, -4 - 3im, 0 - 5im, -3 - 4im, -3 + 4im, -5 + 0im]","(12,)"
26,false,,"[2, 13]","Complex[1 + 1im, 1 - 1im, 3 + 2im, 3 - 2im]","Complex[1 + 5im, 1 - 5im, 2 + 0im, 13 + 0im]","Complex[1 + 5im, 1 - 5im, 2 + 0im, 13 + 0im, -5 + 1im, 5 + 1im, 0 + 2im, 0 + 13im, 5 - 1im, -5 - 1im, 0 - 2im, 0 - 13im, -1 - 5im, -1 + 5im, -2 + 0im, -13 + 0im]","(16,)"
27,false,3,"[3, 3, 3]","Complex[3 + 0im, 3 + 0im, 3 + 0im]",Complex[],Any[],"(0,)"
28,false,,"[2, 2, 7]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 0im]",Complex[],Any[],"(0,)"
29,true,1,[29],"Complex[2 + 5im, 2 - 5im]","Complex[2 + 5im, 2 - 5im]","Complex[2 + 5im, 2 - 5im, -5 + 2im, 5 + 2im, 5 - 2im, -5 - 2im, -2 - 5im, -2 + 5im]","(8,)"
30,false,,"[2, 3, 5]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 2 + 1im, 2 - 1im]",Complex[],Any[],"(0,)"
31,true,3,[31],Complex[31 + 0im],Complex[31 + 0im],"Complex[31 + 0im, 0 + 31im, 0 - 31im, -31 + 0im]","(4,)"
32,false,,"[2, 2, 2, 2, 2]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im]","Complex[-4 - 4im, -4 + 4im, 4 + 4im, 4 - 4im]","Complex[-4 - 4im, -4 + 4im, 4 + 4im, 4 - 4im]","(4,)"
33,false,1,"[3, 11]","Complex[3 + 0im, 11 + 0im]","Complex[3 + 0im, 11 + 0im]","Complex[3 + 0im, 11 + 0im, 0 + 3im, 0 + 11im, 0 - 3im, 0 - 11im, -3 + 0im, -11 + 0im]","(8,)"
34,false,,"[2, 17]","Complex[1 + 1im, 1 - 1im, 1 + 4im, 1 - 4im]","Complex[-3 + 5im, -3 - 5im, 2 + 0im, 17 + 0im]","Complex[-3 + 5im, -3 - 5im, 2 + 0im, 17 + 0im, -5 - 3im, 5 - 3im, 0 + 2im, 0 + 17im, 5 + 3im, -5 + 3im, 0 - 2im, 0 - 17im, 3 - 5im, 3 + 5im, -2 + 0im, -17 + 0im]","(16,)"
35,false,3,"[5, 7]","Complex[2 + 1im, 2 - 1im, 7 + 0im]",Complex[],Any[],"(0,)"
36,false,,"[2, 2, 3, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im]","Complex[0 + 6im, 0 - 6im, 2 + 2im, 9 - 9im]","Complex[0 + 6im, 0 - 6im, 2 + 2im, 9 - 9im, -6 + 0im, 6 + 0im, -2 + 2im, 9 + 9im, 2 - 2im, -9 - 9im, -2 - 2im, -9 + 9im]","(12,)"
37,true,1,[37],"Complex[1 + 6im, 1 - 6im]","Complex[1 + 6im, 1 - 6im]","Complex[1 + 6im, 1 - 6im, -6 + 1im, 6 + 1im, 6 - 1im, -6 - 1im, -1 - 6im, -1 + 6im]","(8,)"
38,false,,"[2, 19]","Complex[1 + 1im, 1 - 1im, 19 + 0im]",Complex[],Any[],"(0,)"
39,false,3,"[3, 13]","Complex[3 + 0im, 3 + 2im, 3 - 2im]",Complex[],Any[],"(0,)"
40,false,,"[2, 2, 2, 5]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im]","Complex[-6 + 2im, -6 - 2im, 4 + 0im, 10 + 0im]","Complex[-6 + 2im, -6 - 2im, 4 + 0im, 10 + 0im, -2 - 6im, 2 - 6im, 0 + 4im, 0 + 10im, 2 + 6im, -2 + 6im, 0 - 4im, 0 - 10im, 6 - 2im, 6 + 2im, -4 + 0im, -10 + 0im]","(16,)"
41,true,1,[41],"Complex[4 + 5im, 4 - 5im]","Complex[4 + 5im, 4 - 5im]","Complex[4 + 5im, 4 - 5im, -5 + 4im, 5 + 4im, 5 - 4im, -5 - 4im, -4 - 5im, -4 + 5im]","(8,)"
42,false,,"[2, 3, 7]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 7 + 0im]","Complex[3 + 3im, 7 - 7im, 2 + 0im, 21 + 0im]","Complex[3 + 3im, 7 - 7im, 2 + 0im, 21 + 0im, -3 + 3im, 7 + 7im, 0 + 2im, 0 + 21im, 3 - 3im, -7 - 7im, 0 - 2im, 0 - 21im, -3 - 3im, -7 + 7im, -2 + 0im, -21 + 0im]","(16,)"
43,true,3,[43],Complex[43 + 0im],Complex[43 + 0im],"Complex[43 + 0im, 0 + 43im, 0 - 43im, -43 + 0im]","(4,)"
44,false,,"[2, 2, 11]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 11 + 0im]",Complex[],Any[],"(0,)"
45,false,1,"[3, 3, 5]","Complex[3 + 0im, 3 + 0im, 2 + 1im, 2 - 1im]","Complex[6 + 3im, 6 - 3im, 9 + 0im, 5 + 0im]","Complex[6 + 3im, 6 - 3im, 9 + 0im, 5 + 0im, -3 + 6im, 3 + 6im, 0 + 9im, 0 + 5im, 3 - 6im, -3 - 6im, 0 - 9im, 0 - 5im, -6 - 3im, -6 + 3im, -9 + 0im, -5 + 0im]","(16,)"
46,false,,"[2, 23]","Complex[1 + 1im, 1 - 1im, 23 + 0im]",Complex[],Any[],"(0,)"
47,true,3,[47],Complex[47 + 0im],Complex[47 + 0im],"Complex[47 + 0im, 0 + 47im, 0 - 47im, -47 + 0im]","(4,)"
48,false,,"[2, 2, 2, 2, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im]",Complex[],Any[],"(0,)"
49,false,1,"[7, 7]","Complex[7 + 0im, 7 + 0im]",Complex[7 + 0im],"Complex[7 + 0im, 0 + 7im, 0 - 7im, -7 + 0im]","(4,)"
50,false,,"[2, 5, 5]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im]","Complex[-1 + 7im, -1 - 7im, 4 + 2im, 10 - 5im]","Complex[-1 + 7im, -1 - 7im, 4 + 2im, 10 - 5im, -7 - 1im, 7 - 1im, -2 + 4im, 5 + 10im, 7 + 1im, -7 + 1im, 2 - 4im, -5 - 10im, 1 - 7im, 1 + 7im, -4 - 2im, -10 + 5im]","(16,)"
51,false,3,"[3, 17]","Complex[3 + 0im, 1 + 4im, 1 - 4im]",Complex[],Any[],"(0,)"
52,false,,"[2, 2, 13]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 2im, 3 - 2im]","Complex[-4 + 6im, -4 - 6im, 2 + 2im, 13 - 13im]","Complex[-4 + 6im, -4 - 6im, 2 + 2im, 13 - 13im, -6 - 4im, 6 - 4im, -2 + 2im, 13 + 13im, 6 + 4im, -6 + 4im, 2 - 2im, -13 - 13im, 4 - 6im, 4 + 6im, -2 - 2im, -13 + 13im]","(16,)"
53,true,1,[53],"Complex[7 + 2im, 7 - 2im]","Complex[7 + 2im, 7 - 2im]","Complex[7 + 2im, 7 - 2im, -2 + 7im, 2 + 7im, 2 - 7im, -2 - 7im, -7 - 2im, -7 + 2im]","(8,)"
54,false,,"[2, 3, 3, 3]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 3 + 0im]",Complex[],Any[],"(0,)"
55,false,3,"[5, 11]","Complex[2 + 1im, 2 - 1im, 11 + 0im]",Complex[],Any[],"(0,)"
56,false,,"[2, 2, 2, 7]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 7 + 0im]",Complex[],Any[],"(0,)"
57,false,1,"[3, 19]","Complex[3 + 0im, 19 + 0im]","Complex[3 + 0im, 19 + 0im]","Complex[3 + 0im, 19 + 0im, 0 + 3im, 0 + 19im, 0 - 3im, 0 - 19im, -3 + 0im, -19 + 0im]","(8,)"
58,false,,"[2, 29]","Complex[1 + 1im, 1 - 1im, 2 + 5im, 2 - 5im]","Complex[-3 + 7im, -3 - 7im, 2 + 0im, 29 + 0im]","Complex[-3 + 7im, -3 - 7im, 2 + 0im, 29 + 0im, -7 - 3im, 7 - 3im, 0 + 2im, 0 + 29im, 7 + 3im, -7 + 3im, 0 - 2im, 0 - 29im, 3 - 7im, 3 + 7im, -2 + 0im, -29 + 0im]","(16,)"
59,true,3,[59],Complex[59 + 0im],Complex[59 + 0im],"Complex[59 + 0im, 0 + 59im, 0 - 59im, -59 + 0im]","(4,)"
60,false,,"[2, 2, 3, 5]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 2 + 1im, 2 - 1im]",Complex[],Any[],"(0,)"
61,true,1,[61],"Complex[5 + 6im, 5 - 6im]","Complex[5 + 6im, 5 - 6im]","Complex[5 + 6im, 5 - 6im, -6 + 5im, 6 + 5im, 6 - 5im, -6 - 5im, -5 - 6im, -5 + 6im]","(8,)"
62,false,,"[2, 31]","Complex[1 + 1im, 1 - 1im, 31 + 0im]",Complex[],Any[],"(0,)"
63,false,3,"[3, 3, 7]","Complex[3 + 0im, 3 + 0im, 7 + 0im]",Complex[],Any[],"(0,)"
64,false,,"[2, 2, 2, 2, 2, 2]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im]","Complex[0 - 8im, 0 + 8im, 8 + 0im]","Complex[0 - 8im, 0 + 8im, 8 + 0im, -8 + 0im]","(4,)"
65,false,1,"[5, 13]","Complex[2 + 1im, 2 - 1im, 3 + 2im, 3 - 2im]","Complex[4 + 7im, 4 - 7im, 5 + 0im, 13 + 0im]","Complex[4 + 7im, 4 - 7im, 5 + 0im, 13 + 0im, -7 + 4im, 7 + 4im, 0 + 5im, 0 + 13im, 7 - 4im, -7 - 4im, 0 - 5im, 0 - 13im, -4 - 7im, -4 + 7im, -5 + 0im, -13 + 0im]","(16,)"
66,false,,"[2, 3, 11]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 11 + 0im]","Complex[3 + 3im, 11 - 11im, 2 + 0im, 33 + 0im]","Complex[3 + 3im, 11 - 11im, 2 + 0im, 33 + 0im, -3 + 3im, 11 + 11im, 0 + 2im, 0 + 33im, 3 - 3im, -11 - 11im, 0 - 2im, 0 - 33im, -3 - 3im, -11 + 11im, -2 + 0im, -33 + 0im]","(16,)"
67,true,3,[67],Complex[67 + 0im],Complex[67 + 0im],"Complex[67 + 0im, 0 + 67im, 0 - 67im, -67 + 0im]","(4,)"
68,false,,"[2, 2, 17]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 4im, 1 - 4im]","Complex[-8 + 2im, -8 - 2im, 2 + 2im, 17 - 17im]","Complex[-8 + 2im, -8 - 2im, 2 + 2im, 17 - 17im, -2 - 8im, 2 - 8im, -2 + 2im, 17 + 17im, 2 + 8im, -2 + 8im, 2 - 2im, -17 - 17im, 8 - 2im, 8 + 2im, -2 - 2im, -17 + 17im]","(16,)"
69,false,1,"[3, 23]","Complex[3 + 0im, 23 + 0im]","Complex[3 + 0im, 23 + 0im]","Complex[3 + 0im, 23 + 0im, 0 + 3im, 0 + 23im, 0 - 3im, 0 - 23im, -3 + 0im, -23 + 0im]","(8,)"
70,false,,"[2, 5, 7]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 7 + 0im]",Complex[],Any[],"(0,)"
71,true,3,[71],Complex[71 + 0im],Complex[71 + 0im],"Complex[71 + 0im, 0 + 71im, 0 - 71im, -71 + 0im]","(4,)"
72,false,,"[2, 2, 2, 3, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im]","Complex[-6 + 6im, -6 - 6im, 4 + 0im, 18 + 0im]","Complex[-6 + 6im, -6 - 6im, 4 + 0im, 18 + 0im, 6 - 6im, 0 + 4im, 0 + 18im, 6 + 6im, 0 - 4im, 0 - 18im, -4 + 0im, -18 + 0im]","(12,)"
73,true,1,[73],"Complex[8 + 3im, 8 - 3im]","Complex[8 + 3im, 8 - 3im]","Complex[8 + 3im, 8 - 3im, -3 + 8im, 3 + 8im, 3 - 8im, -3 - 8im, -8 - 3im, -8 + 3im]","(8,)"
74,false,,"[2, 37]","Complex[1 + 1im, 1 - 1im, 1 + 6im, 1 - 6im]","Complex[-5 + 7im, -5 - 7im, 2 + 0im, 37 + 0im]","Complex[-5 + 7im, -5 - 7im, 2 + 0im, 37 + 0im, -7 - 5im, 7 - 5im, 0 + 2im, 0 + 37im, 7 + 5im, -7 + 5im, 0 - 2im, 0 - 37im, 5 - 7im, 5 + 7im, -2 + 0im, -37 + 0im]","(16,)"
75,false,3,"[3, 5, 5]","Complex[3 + 0im, 2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im]",Complex[],Any[],"(0,)"
76,false,,"[2, 2, 19]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 19 + 0im]",Complex[],Any[],"(0,)"
77,false,1,"[7, 11]","Complex[7 + 0im, 11 + 0im]","Complex[7 + 0im, 11 + 0im]","Complex[7 + 0im, 11 + 0im, 0 + 7im, 0 + 11im, 0 - 7im, 0 - 11im, -7 + 0im, -11 + 0im]","(8,)"
78,false,,"[2, 3, 13]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 2im, 3 - 2im]",Complex[],Any[],"(0,)"
79,true,3,[79],Complex[79 + 0im],Complex[79 + 0im],"Complex[79 + 0im, 0 + 79im, 0 - 79im, -79 + 0im]","(4,)"
80,false,,"[2, 2, 2, 2, 5]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im]","Complex[-8 - 4im, -8 + 4im, 4 + 4im, 10 - 10im]","Complex[-8 - 4im, -8 + 4im, 4 + 4im, 10 - 10im, 4 - 8im, -4 - 8im, -4 + 4im, 10 + 10im, -4 + 8im, 4 + 8im, 4 - 4im, -10 - 10im, 8 + 4im, 8 - 4im, -4 - 4im, -10 + 10im]","(16,)"
81,false,1,"[3, 3, 3, 3]","Complex[3 + 0im, 3 + 0im, 3 + 0im, 3 + 0im]",Complex[9 + 0im],"Complex[9 + 0im, 0 + 9im, 0 - 9im, -9 + 0im]","(4,)"
82,false,,"[2, 41]","Complex[1 + 1im, 1 - 1im, 4 + 5im, 4 - 5im]","Complex[-1 + 9im, -1 - 9im, 2 + 0im, 41 + 0im]","Complex[-1 + 9im, -1 - 9im, 2 + 0im, 41 + 0im, -9 - 1im, 9 - 1im, 0 + 2im, 0 + 41im, 9 + 1im, -9 + 1im, 0 - 2im, 0 - 41im, 1 - 9im, 1 + 9im, -2 + 0im, -41 + 0im]","(16,)"
83,true,3,[83],Complex[83 + 0im],Complex[83 + 0im],"Complex[83 + 0im, 0 + 83im, 0 - 83im, -83 + 0im]","(4,)"
84,false,,"[2, 2, 3, 7]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 7 + 0im]","Complex[0 + 6im, 0 - 14im, 2 + 2im, 21 - 21im]","Complex[0 + 6im, 0 - 14im, 2 + 2im, 21 - 21im, -6 + 0im, 14 + 0im, -2 + 2im, 21 + 21im, 6 + 0im, -14 + 0im, 2 - 2im, -21 - 21im, 0 - 6im, 0 + 14im, -2 - 2im, -21 + 21im]","(16,)"
85,false,1,"[5, 17]","Complex[2 + 1im, 2 - 1im, 1 + 4im, 1 - 4im]","Complex[-2 + 9im, -2 - 9im, 5 + 0im, 17 + 0im]","Complex[-2 + 9im, -2 - 9im, 5 + 0im, 17 + 0im, -9 - 2im, 9 - 2im, 0 + 5im, 0 + 17im, 9 + 2im, -9 + 2im, 0 - 5im, 0 - 17im, 2 - 9im, 2 + 9im, -5 + 0im, -17 + 0im]","(16,)"
86,false,,"[2, 43]","Complex[1 + 1im, 1 - 1im, 43 + 0im]",Complex[],Any[],"(0,)"
87,false,3,"[3, 29]","Complex[3 + 0im, 2 + 5im, 2 - 5im]",Complex[],Any[],"(0,)"
88,false,,"[2, 2, 2, 11]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 11 + 0im]",Complex[],Any[],"(0,)"
89,true,1,[89],"Complex[5 + 8im, 5 - 8im]","Complex[5 + 8im, 5 - 8im]","Complex[5 + 8im, 5 - 8im, -8 + 5im, 8 + 5im, 8 - 5im, -8 - 5im, -5 - 8im, -5 + 8im]","(8,)"
90,false,,"[2, 3, 3, 5]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 2 + 1im, 2 - 1im]","Complex[3 + 9im, 3 - 9im, 6 + 0im, 15 + 0im]","Complex[3 + 9im, 3 - 9im, 6 + 0im, 15 + 0im, -9 + 3im, 9 + 3im, 0 + 6im, 0 + 15im, 9 - 3im, -9 - 3im, 0 - 6im, 0 - 15im, -3 - 9im, -3 + 9im, -6 + 0im, -15 + 0im]","(16,)"
91,false,3,"[7, 13]","Complex[7 + 0im, 3 + 2im, 3 - 2im]",Complex[],Any[],"(0,)"
92,false,,"[2, 2, 23]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 23 + 0im]",Complex[],Any[],"(0,)"
93,false,1,"[3, 31]","Complex[3 + 0im, 31 + 0im]","Complex[3 + 0im, 31 + 0im]","Complex[3 + 0im, 31 + 0im, 0 + 3im, 0 + 31im, 0 - 3im, 0 - 31im, -3 + 0im, -31 + 0im]","(8,)"
94,false,,"[2, 47]","Complex[1 + 1im, 1 - 1im, 47 + 0im]",Complex[],Any[],"(0,)"
95,false,3,"[5, 19]","Complex[2 + 1im, 2 - 1im, 19 + 0im]",Complex[],Any[],"(0,)"
96,false,,"[2, 2, 2, 2, 2, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im]",Complex[],Any[],"(0,)"
97,true,1,[97],"Complex[4 + 9im, 4 - 9im]","Complex[4 + 9im, 4 - 9im]","Complex[4 + 9im, 4 - 9im, -9 + 4im, 9 + 4im, 9 - 4im, -9 - 4im, -4 - 9im, -4 + 9im]","(8,)"
98,false,,"[2, 7, 7]","Complex[1 + 1im, 1 - 1im, 7 + 0im, 7 + 0im]","Complex[7 + 7im, 7 - 7im, 2 + 0im, 49 + 0im]","Complex[7 + 7im, 7 - 7im, 2 + 0im, 49 + 0im, -7 + 7im, 0 + 2im, 0 + 49im, -7 - 7im, 0 - 2im, 0 - 49im, -2 + 0im, -49 + 0im]","(12,)"
99,false,3,"[3, 3, 11]","Complex[3 + 0im, 3 + 0im, 11 + 0im]",Complex[],Any[],"(0,)"
100,false,,"[2, 2, 5, 5]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 2 + 1im, 2 - 1im]","Complex[-8 + 6im, -8 - 6im, 4 + 0im, 25 + 0im]","Complex[-8 + 6im, -8 - 6im, 4 + 0im, 25 + 0im, -6 - 8im, 6 - 8im, 0 + 4im, 0 + 25im, 6 + 8im, -6 + 8im, 0 - 4im, 0 - 25im, 8 - 6im, 8 + 6im, -4 + 0im, -25 + 0im]","(16,)"
101,true,1,[101],"Complex[10 + 1im, 10 - 1im]","Complex[10 + 1im, 10 - 1im]","Complex[10 + 1im, 10 - 1im, -1 + 10im, 1 + 10im, 1 - 10im, -1 - 10im, -10 - 1im, -10 + 1im]","(8,)"
102,false,,"[2, 3, 17]","Complex[1 + 1im, 1 - 1im, 3 + 0im, 1 + 4im, 1 - 4im]",Complex[],Any[],"(0,)"
103,true,3,[103],Complex[103 + 0im],Complex[103 + 0im],"Complex[103 + 0im, 0 + 103im, 0 - 103im, -103 + 0im]","(4,)"
104,false,,"[2, 2, 2, 13]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 2im, 3 - 2im]","Complex[-10 + 2im, -10 - 2im, 4 + 0im, 26 + 0im]","Complex[-10 + 2im, -10 - 2im, 4 + 0im, 26 + 0im, -2 - 10im, 2 - 10im, 0 + 4im, 0 + 26im, 2 + 10im, -2 + 10im, 0 - 4im, 0 - 26im, 10 - 2im, 10 + 2im, -4 + 0im, -26 + 0im]","(16,)"
105,false,1,"[3, 5, 7]","Complex[3 + 0im, 2 + 1im, 2 - 1im, 7 + 0im]","Complex[6 - 3im, 14 + 7im, 6 + 3im, 14 - 7im]","Complex[6 - 3im, 14 + 7im, 6 + 3im, 14 - 7im, 3 + 6im, -7 + 14im, -3 + 6im, 7 + 14im, -3 - 6im, 7 - 14im, 3 - 6im, -7 - 14im, -6 + 3im, -14 - 7im, -6 - 3im, -14 + 7im]","(16,)"
106,false,,"[2, 53]","Complex[1 + 1im, 1 - 1im, 7 + 2im, 7 - 2im]","Complex[5 + 9im, 5 - 9im, 2 + 0im, 53 + 0im]","Complex[5 + 9im, 5 - 9im, 2 + 0im, 53 + 0im, -9 + 5im, 9 + 5im, 0 + 2im, 0 + 53im, 9 - 5im, -9 - 5im, 0 - 2im, 0 - 53im, -5 - 9im, -5 + 9im, -2 + 0im, -53 + 0im]","(16,)"
107,true,3,[107],Complex[107 + 0im],Complex[107 + 0im],"Complex[107 + 0im, 0 + 107im, 0 - 107im, -107 + 0im]","(4,)"
108,false,,"[2, 2, 3, 3, 3]","Complex[1 + 1im, 1 - 1im, 1 + 1im, 1 - 1im, 3 + 0im, 3 + 0im, 3 + 0im]",Complex[],Any[],"(0,)"
109,true,1,[109],"Complex[3 + 10im, 3 - 10im]","Complex[3 + 10im, 3 - 10im]","Complex[3 + 10im, 3 - 10im, -10 + 3im, 10 + 3im, 10 - 3im, -10 - 3im, -3 - 10im, -3 + 10im]","(8,)"
110,false,,"[2, 5, 11]","Complex[1 + 1im, 1 - 1im, 2 + 1im, 2 - 1im, 11 + 0im]",Complex[],Any[],"(0,)"
